,Job_Title,Company,Contract Type,Location,date,Job Type,description
72,BI Developer (Data Analytics) (JHB),Datafin IT Recruitment,Permanent,Sandton,2 weeks ago,Full Time,"ENVIRONMENT:
JOIN a defined Markets Data Analytics Dev team of a renowned Financial Services Group seeking a BI Developer with strong leadership and commercial & financial acumen. You will be responsible for understanding the full lifecycle of a BI Project from the user, the initiation of the request to delivery of the reporting solution to business. Continuous development of Markets Data Analytics Platform is done by enhancing current functionality and building out for new business requirements. You will require a Bachelor’s Degree in Computer Science/Mathematics or related discipline with 3 years’ experience developing and delivering BI solutions & have experience with Markets Data Analytics project lifecycle, a Capital Markets Business environment and be able to engage with business to understand requirements. You will also need to be proficient with Informatica, T-SQL, SSIS, SSAS and SSRS, Ab-initio & Power BI.
DUTIES:
Analysis and solution development –
Collaborate with Business and the Markets Data Analyst to understand the requirements and BI solution which meet the business needs.
Collaborate within the team to determine the tasks required to deliver the Analytics solution.
Further breakdown tasks into smaller components in order to meet deadline.
Provide continuous feedback and input to other stakeholders.
Apply SDLC on an ongoing basis -
Source, request and obtain access to information and relate it back to requirements.
Explore and profile data. Understand anomalies in the data.
Work with the data analyst to create a source to target mapping, when required.
Develop the extract or output of data based on analysis requirements.
Share the output with the data analyst, data scientist and business stakeholders for them to test and provide feedback.
Build the necessary data control checks.
Receive change requirements from data scientist and business stakeholders.
Carry out modifications and/or enhancements.
Deploy Solution to production.
Handover the process and checks to the Operations team (Night Ops) to ensure it runs successfully once in production -
ETLs
Database tasks
Data integrity checks
Data completeness and reconciliation checks
Act speedily to resolve problems, queries and complaints.
Service Excellence –
Compile training material and provide end-user training to stakeholders where relevant.
Collaborate with internal technical team/users in the resolution of critical production incidents.
Collaborate with BI Vendors when necessary, on suitable short- and long-term solutions for incidents and new requirements.
Suggest changes in executing work processes to better drive value and benefits for the business.
Effective stakeholder relationship management –
Build and maintain professional working relationships with all stakeholders, displaying excellent abilities to initiate dialogue, listen, advise, influence and negotiate to achieve win-win outcomes.
Initiate meetings with key stakeholders to track progress, manage expectations and ensure stakeholders’ requirements are delivered.
Build relationships despite arising conflicting views and seeks mutual gains when addressing conflicts.
Anticipate consequences and adapts problem solving based on continuous feedback.
Self-management and teamwork –
Plan and manage own workflow, anticipating obstacles, juggling priorities and following through on objectives within agreed timeframes and according to quality standards.
Stay relevant and up to date with legislations and new development.
Take ownership of personal career development, leveraging formal and informal opportunities.
Act in an ethical, transparent and morally defensible manner.
Adapt communication styles to meet the needs of different audiences.
Continually share, debate and communicate learning’s, also flag and debate issues constructively to ensure the best outcome for business stakeholders and ultimately the bank.
Contribute to a friendly, co-operative climate in working with others to achieve collective goals.
REQUIREMENTS:
Qualifications –
Bachelor’s Degree in Computer Science, Mathematics, Engineering or related discipline is required.
Strong functional knowledge of -
Markets BI environment modules: Informatica, T-SQL, SSIS, SSAS and SSRS, Ab-initio, Power BI.
Markets Data Analytics project lifecycle.
The Capital Markets Business environment.
Experience -
At least 3 years of experience developing and delivering Business Intelligence solutions.
Engaging with business to understand requirements.
ATTRIBUTES:
Customer Service Orientation - Anticipates, recognizes and meets the needs of internal and external clients or customers (however these are defined in the role), taking responsibility for maintaining the highest service standards and developing and sustaining productive client relationships.
Leading and Managing - The capacity to define, encourage, review and evaluate own in relation to clearly defined objectives, timelines and performance standards; includes the ability to identify and implement appropriate measures and benchmarks.
Judgment and Decision-Making - The ability to make firm (and sometimes difficult) decisions fairly and compassionately based on relevant facts, criteria and disciplined, logical thinking.
Commercial and Financial Acumen - Understands relevant financial and commercial knowledge to be able to optimize financial resources to meet current and/or future priorities.
Verbal and Written Communication - Capacity to use appropriate presentation and facilitation techniques to engage an audience and help them to understand, retain and respond appropriately to the message.
While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.
COMMENTS:
When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to michelle@datafin.com and mention the reference numbers of the jobs. We have a list of jobs on http://www.datafin.com. Datafin IT Recruitment - Cape Town Jobs."
73,BI Developer (Data Analytics) (JHB),Datafin IT Recruitment,Permanent,Sandton,1 week ago,Full Time,"ENVIRONMENT:
JOIN a defined Markets Data Analytics Dev team of a renowned Financial Services Group seeking a BI Developer with strong leadership and commercial & financial acumen. You will be responsible for understanding the full lifecycle of a BI Project from the user, the initiation of the request to delivery of the reporting solution to business. Continuous development of Markets Data Analytics Platform is done by enhancing current functionality and building out for new business requirements. You will require a Bachelor’s Degree in Computer Science/Mathematics or related discipline with 3 years’ experience developing and delivering BI solutions & have experience with Markets Data Analytics project lifecycle, a Capital Markets Business environment and be able to engage with business to understand requirements. You will also need to be proficient with Informatica, T-SQL, SSIS, SSAS and SSRS, Ab-initio & Power BI.
DUTIES:
Analysis and solution development –
Collaborate with Business and the Markets Data Analyst to understand the requirements and BI solution which meet the business needs.
Collaborate within the team to determine the tasks required to deliver the Analytics solution.
Further breakdown tasks into smaller components in order to meet deadline.
Provide continuous feedback and input to other stakeholders.
Apply SDLC on an ongoing basis -
Source, request and obtain access to information and relate it back to requirements.
Explore and profile data. Understand anomalies in the data.
Work with the data analyst to create a source to target mapping, when required.
Develop the extract or output of data based on analysis requirements.
Share the output with the data analyst, data scientist and business stakeholders for them to test and provide feedback.
Build the necessary data control checks.
Receive change requirements from data scientist and business stakeholders.
Carry out modifications and/or enhancements.
Deploy Solution to production.
Handover the process and checks to the Operations team (Night Ops) to ensure it runs successfully once in production -
ETLs
Database tasks
Data integrity checks
Data completeness and reconciliation checks
Act speedily to resolve problems, queries and complaints.
Service Excellence –
Compile training material and provide end-user training to stakeholders where relevant.
Collaborate with internal technical team/users in the resolution of critical production incidents.
Collaborate with BI Vendors when necessary, on suitable short- and long-term solutions for incidents and new requirements.
Suggest changes in executing work processes to better drive value and benefits for the business.
Effective stakeholder relationship management –
Build and maintain professional working relationships with all stakeholders, displaying excellent abilities to initiate dialogue, listen, advise, influence and negotiate to achieve win-win outcomes.
Initiate meetings with key stakeholders to track progress, manage expectations and ensure stakeholders’ requirements are delivered.
Build relationships despite arising conflicting views and seeks mutual gains when addressing conflicts.
Anticipate consequences and adapts problem solving based on continuous feedback.
Self-management and teamwork –
Plan and manage own workflow, anticipating obstacles, juggling priorities and following through on objectives within agreed timeframes and according to quality standards.
Stay relevant and up to date with legislations and new development.
Take ownership of personal career development, leveraging formal and informal opportunities.
Act in an ethical, transparent and morally defensible manner.
Adapt communication styles to meet the needs of different audiences.
Continually share, debate and communicate learning’s, also flag and debate issues constructively to ensure the best outcome for business stakeholders and ultimately the bank.
Contribute to a friendly, co-operative climate in working with others to achieve collective goals.
REQUIREMENTS:
Qualifications –
Bachelor’s Degree in Computer Science, Mathematics, Engineering or related discipline is required.
Strong functional knowledge of -
Markets BI environment modules: Informatica, T-SQL, SSIS, SSAS and SSRS, Ab-initio, Power BI.
Markets Data Analytics project lifecycle.
The Capital Markets Business environment.
Experience -
At least 3 years of experience developing and delivering Business Intelligence solutions.
Engaging with business to understand requirements.
ATTRIBUTES:
Customer Service Orientation - Anticipates, recognizes and meets the needs of internal and external clients or customers (however these are defined in the role), taking responsibility for maintaining the highest service standards and developing and sustaining productive client relationships.
Leading and Managing - The capacity to define, encourage, review and evaluate own in relation to clearly defined objectives, timelines and performance standards; includes the ability to identify and implement appropriate measures and benchmarks.
Judgment and Decision-Making - The ability to make firm (and sometimes difficult) decisions fairly and compassionately based on relevant facts, criteria and disciplined, logical thinking.
Commercial and Financial Acumen - Understands relevant financial and commercial knowledge to be able to optimize financial resources to meet current and/or future priorities.
Verbal and Written Communication - Capacity to use appropriate presentation and facilitation techniques to engage an audience and help them to understand, retain and respond appropriately to the message.
While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.
COMMENTS:
When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to michelle@datafin.com and mention the reference numbers of the jobs. We have a list of jobs on http://www.datafin.com. Datafin IT Recruitment - Cape Town Jobs."
74,BI Developer (Data Analytics) (JHB),Datafin IT Recruitment,Permanent,Sandton,1 week ago,Full Time,"ENVIRONMENT:
JOIN a defined Markets Data Analytics Dev team of a renowned Financial Services Group seeking a BI Developer with strong leadership and commercial & financial acumen. You will be responsible for understanding the full lifecycle of a BI Project from the user, the initiation of the request to delivery of the reporting solution to business. Continuous development of Markets Data Analytics Platform is done by enhancing current functionality and building out for new business requirements. You will require a Bachelor’s Degree in Computer Science/Mathematics or related discipline with 3 years’ experience developing and delivering BI solutions & have experience with Markets Data Analytics project lifecycle, a Capital Markets Business environment and be able to engage with business to understand requirements. You will also need to be proficient with Informatica, T-SQL, SSIS, SSAS and SSRS, Ab-initio & Power BI.
DUTIES:
Analysis and solution development –
Collaborate with Business and the Markets Data Analyst to understand the requirements and BI solution which meet the business needs.
Collaborate within the team to determine the tasks required to deliver the Analytics solution.
Further breakdown tasks into smaller components in order to meet deadline.
Provide continuous feedback and input to other stakeholders.
Apply SDLC on an ongoing basis -
Source, request and obtain access to information and relate it back to requirements.
Explore and profile data. Understand anomalies in the data.
Work with the data analyst to create a source to target mapping, when required.
Develop the extract or output of data based on analysis requirements.
Share the output with the data analyst, data scientist and business stakeholders for them to test and provide feedback.
Build the necessary data control checks.
Receive change requirements from data scientist and business stakeholders.
Carry out modifications and/or enhancements.
Deploy Solution to production.
Handover the process and checks to the Operations team (Night Ops) to ensure it runs successfully once in production -
ETLs
Database tasks
Data integrity checks
Data completeness and reconciliation checks
Act speedily to resolve problems, queries and complaints.
Service Excellence –
Compile training material and provide end-user training to stakeholders where relevant.
Collaborate with internal technical team/users in the resolution of critical production incidents.
Collaborate with BI Vendors when necessary, on suitable short- and long-term solutions for incidents and new requirements.
Suggest changes in executing work processes to better drive value and benefits for the business.
Effective stakeholder relationship management –
Build and maintain professional working relationships with all stakeholders, displaying excellent abilities to initiate dialogue, listen, advise, influence and negotiate to achieve win-win outcomes.
Initiate meetings with key stakeholders to track progress, manage expectations and ensure stakeholders’ requirements are delivered.
Build relationships despite arising conflicting views and seeks mutual gains when addressing conflicts.
Anticipate consequences and adapts problem solving based on continuous feedback.
Self-management and teamwork –
Plan and manage own workflow, anticipating obstacles, juggling priorities and following through on objectives within agreed timeframes and according to quality standards.
Stay relevant and up to date with legislations and new development.
Take ownership of personal career development, leveraging formal and informal opportunities.
Act in an ethical, transparent and morally defensible manner.
Adapt communication styles to meet the needs of different audiences.
Continually share, debate and communicate learning’s, also flag and debate issues constructively to ensure the best outcome for business stakeholders and ultimately the bank.
Contribute to a friendly, co-operative climate in working with others to achieve collective goals.
REQUIREMENTS:
Qualifications –
Bachelor’s Degree in Computer Science, Mathematics, Engineering or related discipline is required.
Strong functional knowledge of -
Markets BI environment modules: Informatica, T-SQL, SSIS, SSAS and SSRS, Ab-initio, Power BI.
Markets Data Analytics project lifecycle.
The Capital Markets Business environment.
Experience -
At least 3 years of experience developing and delivering Business Intelligence solutions.
Engaging with business to understand requirements.
ATTRIBUTES:
Customer Service Orientation - Anticipates, recognizes and meets the needs of internal and external clients or customers (however these are defined in the role), taking responsibility for maintaining the highest service standards and developing and sustaining productive client relationships.
Leading and Managing - The capacity to define, encourage, review and evaluate own in relation to clearly defined objectives, timelines and performance standards; includes the ability to identify and implement appropriate measures and benchmarks.
Judgment and Decision-Making - The ability to make firm (and sometimes difficult) decisions fairly and compassionately based on relevant facts, criteria and disciplined, logical thinking.
Commercial and Financial Acumen - Understands relevant financial and commercial knowledge to be able to optimize financial resources to meet current and/or future priorities.
Verbal and Written Communication - Capacity to use appropriate presentation and facilitation techniques to engage an audience and help them to understand, retain and respond appropriately to the message.
While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.
COMMENTS:
When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to michelle@datafin.com and mention the reference numbers of the jobs. We have a list of jobs on http://www.datafin.com. Datafin IT Recruitment - Cape Town Jobs."
75,"Analyst, NOC x12",MECS Africa,Permanent,Gauteng,1 day ago,Full Time,"Key roles and responsibilities:
Prepare and maintain various NOC & Performance reports, this includes – and not limited to – daily, weekly, monthly trouble tickets performance reports, system faults/outages reports, Network Availability, SLAs/OLAs governance reports and various dashboards
Build and maintain historical data, Of performance reports, for use in maintaining a realistic basis for future planning and forecasting.
Analyze various NOC reports and provide problem management reports which focuses on faults/outages trends with RCA to capture repeated faults/outages and predict future issues and work on permanent resolution
Communicate planned change requests internally within NOC team as per change management policy of telecom operator
Performs periodic system health checks
Work with internal and external technical teams to create and/or update Operational Instructions (OPIs) and fault/outage handling processes & procedures
Ensure that all NOC processes and procedures are implemented
Increase day-to-day operational efficiency and accuracy via the use of automated tools and scripts
Other duties as assigned
Experience and Qualifications required:
Bachelor’s degree in Electronics & Communication Engineering or Computer Science / Technology
5+ years of experience working in Telecom industry out of which minimum of 3+ years of experience in Network Operations Center (NOC)
Excellent Knowledge and experience of monitoring tools and trouble ticketing systems
Excellent Knowledge of mobile telecom systems especially power and electromechanical systems and network infrastructures
Excellent knowledge of Problem Management and Change Management as per eTOM and ITIL industry standards
Excellent knowledge of various MS applications, preferably advanced MS Excel and MS Access
Self-disciplined, self-motivated and the ability to organize and prioritize time effectively"
76,"Analyst, NOC x12",MECS Africa,Permanent,Gauteng,3 days ago,Full Time,"Key roles and responsibilities:
Prepare and maintain various NOC & Performance reports, this includes – and not limited to – daily, weekly, monthly trouble tickets performance reports, system faults/outages reports, Network Availability, SLAs/OLAs governance reports and various dashboards
Build and maintain historical data, Of performance reports, for use in maintaining a realistic basis for future planning and forecasting.
Analyze various NOC reports and provide problem management reports which focuses on faults/outages trends with RCA to capture repeated faults/outages and predict future issues and work on permanent resolution
Communicate planned change requests internally within NOC team as per change management policy of telecom operator
Performs periodic system health checks
Work with internal and external technical teams to create and/or update Operational Instructions (OPIs) and fault/outage handling processes & procedures
Ensure that all NOC processes and procedures are implemented
Increase day-to-day operational efficiency and accuracy via the use of automated tools and scripts
Other duties as assigned
Experience and Qualifications required:
Bachelor’s degree in Electronics & Communication Engineering or Computer Science / Technology
5+ years of experience working in Telecom industry out of which minimum of 3+ years of experience in Network Operations Center (NOC)
Excellent Knowledge and experience of monitoring tools and trouble ticketing systems
Excellent Knowledge of mobile telecom systems especially power and electromechanical systems and network infrastructures
Excellent knowledge of Problem Management and Change Management as per eTOM and ITIL industry standards
Excellent knowledge of various MS applications, preferably advanced MS Excel and MS Access
Self-disciplined, self-motivated and the ability to organize and prioritize time effectively"
77,"Analyst, NOC x12",MECS Africa,Permanent,Gauteng,1 day ago,Full Time,"Key roles and responsibilities:
Prepare and maintain various NOC & Performance reports, this includes – and not limited to – daily, weekly, monthly trouble tickets performance reports, system faults/outages reports, Network Availability, SLAs/OLAs governance reports and various dashboards
Build and maintain historical data, Of performance reports, for use in maintaining a realistic basis for future planning and forecasting.
Analyze various NOC reports and provide problem management reports which focuses on faults/outages trends with RCA to capture repeated faults/outages and predict future issues and work on permanent resolution
Communicate planned change requests internally within NOC team as per change management policy of telecom operator
Performs periodic system health checks
Work with internal and external technical teams to create and/or update Operational Instructions (OPIs) and fault/outage handling processes & procedures
Ensure that all NOC processes and procedures are implemented
Increase day-to-day operational efficiency and accuracy via the use of automated tools and scripts
Other duties as assigned
Experience and Qualifications required:
Bachelor’s degree in Electronics & Communication Engineering or Computer Science / Technology
5+ years of experience working in Telecom industry out of which minimum of 3+ years of experience in Network Operations Center (NOC)
Excellent Knowledge and experience of monitoring tools and trouble ticketing systems
Excellent Knowledge of mobile telecom systems especially power and electromechanical systems and network infrastructures
Excellent knowledge of Problem Management and Change Management as per eTOM and ITIL industry standards
Excellent knowledge of various MS applications, preferably advanced MS Excel and MS Access
Self-disciplined, self-motivated and the ability to organize and prioritize time effectively"
78,"Analyst, NOC x12",MECS Africa,Permanent,Gauteng,2 weeks ago,Full Time,"Key roles and responsibilities:
Prepare and maintain various NOC & Performance reports, this includes – and not limited to – daily, weekly, monthly trouble tickets performance reports, system faults/outages reports, Network Availability, SLAs/OLAs governance reports and various dashboards
Build and maintain historical data, Of performance reports, for use in maintaining a realistic basis for future planning and forecasting.
Analyze various NOC reports and provide problem management reports which focuses on faults/outages trends with RCA to capture repeated faults/outages and predict future issues and work on permanent resolution
Communicate planned change requests internally within NOC team as per change management policy of telecom operator
Performs periodic system health checks
Work with internal and external technical teams to create and/or update Operational Instructions (OPIs) and fault/outage handling processes & procedures
Ensure that all NOC processes and procedures are implemented
Increase day-to-day operational efficiency and accuracy via the use of automated tools and scripts
Other duties as assigned
Experience and Qualifications required:
Bachelor’s degree in Electronics & Communication Engineering or Computer Science / Technology
5+ years of experience working in Telecom industry out of which minimum of 3+ years of experience in Network Operations Center (NOC)
Excellent Knowledge and experience of monitoring tools and trouble ticketing systems
Excellent Knowledge of mobile telecom systems especially power and electromechanical systems and network infrastructures
Excellent knowledge of Problem Management and Change Management as per eTOM and ITIL industry standards
Excellent knowledge of various MS applications, preferably advanced MS Excel and MS Access
Self-disciplined, self-motivated and the ability to organize and prioritize time effectively"
79,Business Intelligence Analyst - Banking,Naruti People Solutions,Permanent,Gauteng,14 hours ago,Full Time,"Role Purpose
Design, development and maintenance of the knowledge, information management and business intelligence by looking at document requirements and validating with stakeholders
Design and generate reports to give analytical and quantitative insight to business in order to make improved operational, tactical and strategic decisions. Generate reports to improve efficiencies in the business.
  Responsibilities
Increase operational efficiency and suggest solutions to enhance cost effectiveness
Drive business profitability in the context of cost management through Business Intelligence solutions
Ensure client retention and satisfaction by delivering a service that is consistent, seamless and error free
Measuring customer satisfaction and adherence to Service Level Agreements between business and IT regarding IT service quality and performance
Cultivate and manage objective working relationships with a variety of stakeholders, including end-users, SME's, project managers and senior staff members to ensure application of BItools by facilitating sessions to collaborate with stakeholders about options for the solution. Provide high level input to vendor management and assists in resolving any disputes
Proactively deal with client queries within the agreed turn-around times to resolve Business Intelligence enquiries
Monitor changes in legislation, regulations, initiatives and relevant industry practices. Ensure drafting and implementation of appropriate interventions
Ensure compliance with audit requirement
Responsible data governance by doing quality control and auditing of databases to ensure accurate and appropriate use of data
Manage existing reports/dashboards through ongoing production of MIS outputs to ensure consistent information supply in the required format/frequency and by adding additional insight into information produced for clients to ensure a value-added service to any information request to enhance business efficiencies
Analyze derived information to create value added knowledge of the bank's products, channels, service levels, trends, or customers
Translate Business Strategies into actionable goals and execute relevant BI projects / BI initiatives aligned to strategic objectives with specific performance measures and control systems to track progress
Involvement in new projects, design and develop Business Intelligence solutions in line with business requirements and service ad-hoc requests for information from clients within the required timeframe and specification.
Extract data from various sources and convert it into meaningful information that can enhance the effectiveness of business decisions
Manage own development to increase own competencies
  Additional Requirements
In accordance with National Credit Act (NCA) candidates applying for this role will require a credit record check
Power BI
SQL
SAS
SSIS
Strong Excel
  Please Note: Responses will only be sent to short listed candidates. Should you not hear from us within 5 days, please consider your application unsuccessful."
80,Business Intelligence Analyst - Banking,Naruti People Solutions,Permanent,Gauteng,4 days ago,Full Time,"Role Purpose
Design, development and maintenance of the knowledge, information management and business intelligence by looking at document requirements and validating with stakeholders
Design and generate reports to give analytical and quantitative insight to business in order to make improved operational, tactical and strategic decisions. Generate reports to improve efficiencies in the business.
  Responsibilities
Increase operational efficiency and suggest solutions to enhance cost effectiveness
Drive business profitability in the context of cost management through Business Intelligence solutions
Ensure client retention and satisfaction by delivering a service that is consistent, seamless and error free
Measuring customer satisfaction and adherence to Service Level Agreements between business and IT regarding IT service quality and performance
Cultivate and manage objective working relationships with a variety of stakeholders, including end-users, SME's, project managers and senior staff members to ensure application of BItools by facilitating sessions to collaborate with stakeholders about options for the solution. Provide high level input to vendor management and assists in resolving any disputes
Proactively deal with client queries within the agreed turn-around times to resolve Business Intelligence enquiries
Monitor changes in legislation, regulations, initiatives and relevant industry practices. Ensure drafting and implementation of appropriate interventions
Ensure compliance with audit requirement
Responsible data governance by doing quality control and auditing of databases to ensure accurate and appropriate use of data
Manage existing reports/dashboards through ongoing production of MIS outputs to ensure consistent information supply in the required format/frequency and by adding additional insight into information produced for clients to ensure a value-added service to any information request to enhance business efficiencies
Analyze derived information to create value added knowledge of the bank's products, channels, service levels, trends, or customers
Translate Business Strategies into actionable goals and execute relevant BI projects / BI initiatives aligned to strategic objectives with specific performance measures and control systems to track progress
Involvement in new projects, design and develop Business Intelligence solutions in line with business requirements and service ad-hoc requests for information from clients within the required timeframe and specification.
Extract data from various sources and convert it into meaningful information that can enhance the effectiveness of business decisions
Manage own development to increase own competencies
  Additional Requirements
In accordance with National Credit Act (NCA) candidates applying for this role will require a credit record check
Power BI
SQL
SAS
SSIS
Strong Excel
  Please Note: Responses will only be sent to short listed candidates. Should you not hear from us within 5 days, please consider your application unsuccessful."
81,Business Intelligence Analyst - Banking,Naruti People Solutions,Permanent,Gauteng,2 weeks ago,Full Time,"Role Purpose
Design, development and maintenance of the knowledge, information management and business intelligence by looking at document requirements and validating with stakeholders
Design and generate reports to give analytical and quantitative insight to business in order to make improved operational, tactical and strategic decisions. Generate reports to improve efficiencies in the business.
  Responsibilities
Increase operational efficiency and suggest solutions to enhance cost effectiveness
Drive business profitability in the context of cost management through Business Intelligence solutions
Ensure client retention and satisfaction by delivering a service that is consistent, seamless and error free
Measuring customer satisfaction and adherence to Service Level Agreements between business and IT regarding IT service quality and performance
Cultivate and manage objective working relationships with a variety of stakeholders, including end-users, SME's, project managers and senior staff members to ensure application of BItools by facilitating sessions to collaborate with stakeholders about options for the solution. Provide high level input to vendor management and assists in resolving any disputes
Proactively deal with client queries within the agreed turn-around times to resolve Business Intelligence enquiries
Monitor changes in legislation, regulations, initiatives and relevant industry practices. Ensure drafting and implementation of appropriate interventions
Ensure compliance with audit requirement
Responsible data governance by doing quality control and auditing of databases to ensure accurate and appropriate use of data
Manage existing reports/dashboards through ongoing production of MIS outputs to ensure consistent information supply in the required format/frequency and by adding additional insight into information produced for clients to ensure a value-added service to any information request to enhance business efficiencies
Analyze derived information to create value added knowledge of the bank's products, channels, service levels, trends, or customers
Translate Business Strategies into actionable goals and execute relevant BI projects / BI initiatives aligned to strategic objectives with specific performance measures and control systems to track progress
Involvement in new projects, design and develop Business Intelligence solutions in line with business requirements and service ad-hoc requests for information from clients within the required timeframe and specification.
Extract data from various sources and convert it into meaningful information that can enhance the effectiveness of business decisions
Manage own development to increase own competencies
  Additional Requirements
In accordance with National Credit Act (NCA) candidates applying for this role will require a credit record check
Power BI
SQL
SAS
SSIS
Strong Excel
  Please Note: Responses will only be sent to short listed candidates. Should you not hear from us within 5 days, please consider your application unsuccessful."
82,Data/Insights Analytics Manager,Network Finance,Permanent,Midrand,18 hours ago,Full Time,"A leading retail and manufacturing company is looking for a Data/Insights Analytics Manager to oversee Trade/in-store promotion and portfolio optimization and act as a business translator to present key findings to the commercial teams from advanced analytics studies.
Duties:
Develop local reports/dashboards for ACN retail data, household panel and BI financials.
Identify opportunities or gaps across commercial KPI’s and conduct deep dive analysis.
Deploy the learning of price analysis to guide strategy for SPIs, SPDs or promo prices and support RGM initiatives.
Qualifications:
Degree in Quantitative field (Mathematics/Statistics, Finance/Economics, Engineering etc.) – Postgrad preferred
Digital pre-testing/tracking & Tribes generation
Experience:
5 – 7 years’ experience in Advanced Analytics
CPG/Retail/FMCG industry exposure
SQL, Python and Google data studio/Google BigQuery
 
If you are interested in this opportunity, please apply directly. For more Audit jobs, please visit www.networkrecruitment.co.za
If you have not had any response in two weeks, please consider the vacancy application unsuccessful. Your profile will be kept on our database for any other suitable roles/positions."
83,Data/Insights Analytics Manager,Network Finance,Permanent,Midrand,1 week ago,Full Time,"A leading retail and manufacturing company is looking for a Data/Insights Analytics Manager to oversee Trade/in-store promotion and portfolio optimization and act as a business translator to present key findings to the commercial teams from advanced analytics studies.
Duties:
Develop local reports/dashboards for ACN retail data, household panel and BI financials.
Identify opportunities or gaps across commercial KPI’s and conduct deep dive analysis.
Deploy the learning of price analysis to guide strategy for SPIs, SPDs or promo prices and support RGM initiatives.
Qualifications:
Degree in Quantitative field (Mathematics/Statistics, Finance/Economics, Engineering etc.) – Postgrad preferred
Digital pre-testing/tracking & Tribes generation
Experience:
5 – 7 years’ experience in Advanced Analytics
CPG/Retail/FMCG industry exposure
SQL, Python and Google data studio/Google BigQuery
 
If you are interested in this opportunity, please apply directly. For more Audit jobs, please visit www.networkrecruitment.co.za
If you have not had any response in two weeks, please consider the vacancy application unsuccessful. Your profile will be kept on our database for any other suitable roles/positions."
84,CX Analyst,Careerbox,Permanent,Umhlanga,1 week ago,Full Time,"Key Requirements:
Conduct detailed analysis of operational delivery to identify opportunities for improvement
•                  Application and use of problem-solving methodologies used in determining root cause and formulating corrective actions
•                  Work closely with Operational teams, stakeholders, clients and quality managers to ensure that opportunities and problems are fully understood
•                  Proactively listening to partners and finding new ways to continuously evolve our offering
•                  Undertake detailed “deep” call and process analysis
•                  Review patterns and trends in operational delivery to identify opportunities for improvement initiatives
•                  Work closely with the team to ensure that operational teams and Internal Stakeholders understand problems and potential opportunities for improvement
•                  Delivering innovative and value-adding analysis, insight, and presentations to clients
  Assist in the implementation and anchoring of process improvements within the estates          
•                  Use interaction data to understand customer, compliance and company critical
•                  Map business processes across end-to-end customer journeys
•                  Identify opportunities to add value through defined business recommendations
•                  Write-up speech analytics queries and work alongside QA team to drive data into AI tools
•                  Undertake post-implementation work sampling reviews to ensure that targeted improvement benefits have delivered in line with the plan
Design and develop relevant business tools
•                  The CX analyst will be responsible for managing multiple initiatives concurrently.
•                  The Analyst works under the guidance of the Senior Quality Manager/Director but is required to manage the day to day details on the improvement initiatives.
•                  The CX analyst is required to be largely self-managed especially around frequent reporting and review of issues.
•                  Ideas for improvement would be identified and discussed with the business to ensure clarity prior to implementation
  Size
The CX Analyst will ideally form part of a 3-member team supporting the different work streams within Call Insight. Future State, each CX Analyst will support 10-12 campaigns within Call Insight."
